tweets,target
"Congress's dr. Manmohan Singh ruled India for 10 years. There was no GST. There was no NRC. Caa was not present. There was no demonetisation. There was no mastering. There was no peasant strike. There was no wrestling star strike. There was no electoral bond controversy. Governments were not overthrown.. There was no democratization.. There was no hunting of minorities. There was no communalism.. There was no CBI abuse. The common man's poker was not so empty and the common man did not have to wander so much for work. I did not have to pay 109 rupees for petrol. I did not have to pay 900 rupees for gas. I didn't have to pay 95 rupees for diesel.. I didn't have to pay fire prices for the goods.. If the common people want to get more jobs, money should come down in the market. It will be in Congress rule. No one else can. Jai Congress ♥️♥️♥️",0
Ranks will not vote according to Edo Syro-Malabar bishops. Never seen Ldif Chetas so thin. You should not expect the Christian vote,0
All systems in spineless condition,0
The threat of abolishing the constitution and abolishing secularism is not small. Being able to walk and live with pride as a citizen of India is like putting ink on your index finger.,0
Manmohan left after sowing the seeds for all this.,0
The Congressman cut it short,0
"Seeing Veena's face in the photo, it seems that there is a fear inside, did she sign some fake??",0
"Nothing will happen, show this ed and sign two seats and get away",0
Why do you put people who have problem and people who are suffering from pain in this profile.. give another option.,0
"No matter what order the BJP government puts, everything will be at night. Until demonetisation, why can't they be in the dark in the morning?",0
BJP's intention is not clear. Let's pray and wish for the best ,0
"The miscreants have no intelligence, only hatred",0
Is it enough to change the electric line?,0
The CM's campaign will increase the Congress's majority.,0
The entire people of India to reject the Modi Government and BJP,0
"Where is the job government 😡
Those who are struggling in the sun and the rain...",0
Those with intelligence know that this is a UDF planned strike to defeat Comrade Pinarayi. The left side is the side of the heart,0
Someone please tell this guy that 31st March is the end of the financial year and that banks are open for the convenience of the people.,0
Making fools of the Malayalis again and again.. isn't it 🤔,0
This is only BJP'S election stunt. Nothing will happen to PV or VV,0
Lakhs are spent to build a house and others get a forest without costing a single rupee to the Christians,0
A government has come to travel around the country by sitting on an AC bus 😡,0
Do we want peace and development in our country?? Or like in Manipur? ..............................................VOTE.FOR. CONGRESS..SAVE.INDIA,0
Why is CPM contesting this election?To avoid losing the symbol. ................................................ .Where is Kerala Forest Minister ???,0
